Date,Product,UnitPrice,Quantity,TotalSales
2025-01-02,Iced Matcha Latte,90,1,90
2025-01-02,Iced Thai Tea,70,2,140
2025-01-02,New York Cheesecake,120,2,240
2025-01-02,Peach Tea,65,1,65
2025-01-02,Red Velvet Cake,110,3,330
2025-01-02,Sausage Roll,75,2,150
2025-01-02,Spinach Quiche,95,2,190
2025-01-03,Almond Croissant,85,2,170
2025-01-03,Banoffee Pie,100,1,100
2025-01-03,Blueberry Muffin,60,1,60
2025-01-03,Butter Croissant,65,3,195
2025-01-03,Chicken Pie,85,2,170
2025-01-03,Chocolate Chip Cookie,45,4,180
2025-01-03,Club Sandwich,110,2,220
2025-01-03,Coffee Frappe,95,3,285
2025-01-03,Cold Brew,90,2,180
2025-01-03,Earl Grey Tea,55,1,55
2025-01-03,Espresso,60,3,180
2025-01-03,Flat White,75,1,75
2025-01-03,Fudgy Brownie,75,2,150
2025-01-03,Ham & Cheese Sandwich,85,3,255
2025-01-03,Hot Cappuccino,75,2,150
2025-01-03,Hot Caramel Macchiato,80,1,80
2025-01-03,Hot Chocolate,70,2,140
2025-01-03,Hot Matcha Latte,80,2,160
2025-01-03,Hot Mocha,80,2,160
2025-01-03,Hot Thai Tea,60,2,120
2025-01-03,Iced Americano,70,1,70
2025-01-03,Iced Caramel Macchiato,90,1,90
2025-01-03,Iced Lemon Tea,65,2,130
2025-01-03,New York Cheesecake,120,1,120
2025-01-03,Pain au Chocolat,80,1,80
2025-01-03,Peach Tea,65,2,130
2025-01-03,Red Velvet Cake,110,1,110
2025-01-03,Sausage Roll,75,1,75
2025-01-03,Tiramisu,125,1,125
2025-01-04,Almond Croissant,85,1,85
2025-01-04,Banoffee Pie,100,1,100
2025-01-04,Blueberry Muffin,60,1,60
2025-01-04,Carrot Cake,110,1,110
2025-01-04,Chamomile Tea,55,4,220
2025-01-04,Chicken Pie,85,2,170
2025-01-04,Chocolate Chip Cookie,45,1,45
2025-01-04,Chocolate Fudge Cake,105,3,315
2025-01-04,Coffee Frappe,95,2,190
2025-01-04,Earl Grey Tea,55,4,220
2025-01-04,Espresso,60,1,60
2025-01-04,Flat White,75,3,225
2025-01-04,Hot Americano,65,1,65
2025-01-04,Hot Cappuccino,75,2,150
2025-01-04,Hot Matcha Latte,80,4,320
2025-01-04,Hot Mocha,80,1,80
2025-01-04,Hot Thai Tea,60,1,60
2025-01-04,Iced Americano,70,1,70
2025-01-04,Iced Caramel Macchiato,90,1,90
2025-01-04,Iced Chocolate,80,2,160
2025-01-04,Iced Lemon Tea,65,3,195
2025-01-04,Pain au Chocolat,80,2,160
2025-01-04,Red Velvet Cake,110,1,110
2025-01-04,Spinach Quiche,95,1,95
2025-01-04,Tiramisu,125,1,125
2025-01-05,Almond Croissant,85,1,85
2025-01-05,Blueberry Muffin,60,2,120
2025-01-05,Butter Croissant,65,1,65
2025-01-05,Chamomile Tea,55,3,165
2025-01-05,Chicken Pie,85,1,85
2025-01-05,Chocolate Chip Cookie,45,1,45
2025-01-05,Chocolate Fudge Cake,105,1,105
2025-01-05,Coffee Frappe,95,4,380
2025-01-05,Cold Brew,90,1,90
2025-01-05,Earl Grey Tea,55,3,165
2025-01-05,Espresso,60,4,240
2025-01-05,Flat White,75,2,150
2025-01-05,Fudgy Brownie,75,1,75
2025-01-05,Ham & Cheese Sandwich,85,2,170
2025-01-05,Hot Americano,65,3,195
2025-01-05,Hot Cappuccino,75,2,150
2025-01-05,Hot Caramel Macchiato,80,1,80
2025-01-05,Hot Chocolate,70,3,210
2025-01-05,Hot Latte,75,1,75
2025-01-05,Hot Matcha Latte,80,3,240
2025-01-05,Hot Thai Tea,60,3,180
2025-01-05,Iced Americano,70,1,70
2025-01-05,Iced Chocolate,80,2,160
2025-01-05,Iced Lemon Tea,65,1,65
2025-01-05,New York Cheesecake,120,3,360
2025-01-05,Pain au Chocolat,80,3,240
2025-01-05,Peach Tea,65,2,130
2025-01-05,Red Velvet Cake,110,1,110
2025-01-05,Strawberry Italian Soda,60,1,60
2025-01-06,Blueberry Muffin,60,1,60
2025-01-06,Chamomile Tea,55,2,110
2025-01-06,Chicken Pie,85,2,170
2025-01-06,Chocolate Chip Cookie,45,1,45
2025-01-06,Coffee Frappe,95,1,95
2025-01-06,Earl Grey Tea,55,4,220
2025-01-06,Espresso,60,2,120
2025-01-06,Flat White,75,4,300
2025-01-06,Ham & Cheese Sandwich,85,2,170
2025-01-06,Hot Americano,65,3,195
2025-01-06,Hot Cappuccino,75,1,75
2025-01-06,Hot Caramel Macchiato,80,1,80
2025-01-06,Hot Chocolate,70,2,140
2025-01-06,Hot Latte,75,1,75
2025-01-06,Hot Matcha Latte,80,5,400
2025-01-06,Hot Thai Tea,60,1,60
2025-01-06,Iced Americano,70,1,70
2025-01-06,Iced Caramel Macchiato,90,1,90
2025-01-06,Iced Chocolate,80,4,320
2025-01-06,Iced Latte,80,1,80
2025-01-06,New York Cheesecake,120,3,360
2025-01-06,Pain au Chocolat,80,1,80
2025-01-06,Peach Tea,65,1,65
2025-01-06,Red Velvet Cake,110,2,220
2025-01-06,Sausage Roll,75,3,225
2025-01-06,Spinach Quiche,95,3,285
2025-01-06,Strawberry Italian Soda,60,1,60
2025-01-06,Tiramisu,125,1,125
2025-01-07,Almond Croissant,85,3,255
2025-01-07,Blueberry Muffin,60,1,60
2025-01-07,Butter Croissant,65,2,130
2025-01-07,Club Sandwich,110,1,110
2025-01-07,Coffee Frappe,95,2,190
2025-01-07,Cold Brew,90,1,90
2025-01-07,Earl Grey Tea,55,3,165
2025-01-07,Espresso,60,1,60
2025-01-07,Ham & Cheese Sandwich,85,1,85
2025-01-07,Hot Americano,65,1,65
2025-01-07,Hot Caramel Macchiato,80,2,160
2025-01-07,Hot Mocha,80,1,80
2025-01-07,Hot Thai Tea,60,1,60
2025-01-07,Iced Americano,70,1,70
2025-01-07,Iced Caramel Macchiato,90,1,90
2025-01-07,Iced Latte,80,2,160
2025-01-07,Iced Lemon Tea,65,1,65
2025-01-07,Iced Matcha Latte,90,1,90
2025-01-07,Iced Mocha,85,1,85
2025-01-07,Iced Thai Tea,70,1,70
2025-01-07,Pain au Chocolat,80,1,80
2025-01-07,Peach Tea,65,1,65
2025-01-07,Red Velvet Cake,110,4,440
2025-01-07,Sausage Roll,75,4,300
2025-01-07,Spinach Quiche,95,1,95
2025-01-07,Strawberry Italian Soda,60,1,60
2025-01-07,Tiramisu,125,1,125
2025-01-07,Yuzu Soda,70,2,140
2025-01-08,Blueberry Muffin,60,1,60
2025-01-08,Butter Croissant,65,1,65
2025-01-08,Carrot Cake,110,1,110
2025-01-08,Chamomile Tea,55,5,275
2025-01-08,Chicken Pie,85,1,85
2025-01-08,Club Sandwich,110,2,220
2025-01-08,Cold Brew,90,3,270
2025-01-08,Earl Grey Tea,55,4,220
2025-01-08,Espresso,60,2,120
2025-01-08,Flat White,75,2,150
2025-01-08,Fudgy Brownie,75,1,75
2025-01-08,Hot Cappuccino,75,2,150
2025-01-08,Hot Chocolate,70,1,70
2025-01-08,Hot Matcha Latte,80,2,160
2025-01-08,Hot Mocha,80,1,80
2025-01-08,Hot Thai Tea,60,5,300
2025-01-08,Iced Americano,70,2,140
2025-01-08,Iced Caramel Macchiato,90,2,180
2025-01-08,Iced Chocolate,80,1,80
2025-01-08,Iced Lemon Tea,65,2,130
2025-01-08,Iced Matcha Latte,90,1,90
2025-01-08,Iced Mocha,85,1,85
2025-01-08,New York Cheesecake,120,4,480
2025-01-08,Peach Tea,65,2,130
2025-01-08,Red Velvet Cake,110,1,110
2025-01-08,Sausage Roll,75,3,225
2025-01-08,Spinach Quiche,95,4,380
2025-01-08,Strawberry Italian Soda,60,2,120
2025-01-08,Yuzu Soda,70,1,70
2025-01-09,Blueberry Muffin,60,1,60
2025-01-09,Carrot Cake,110,1,110
2025-01-09,Chicken Pie,85,2,170
2025-01-09,Chocolate Chip Cookie,45,2,90
2025-01-09,Chocolate Fudge Cake,105,1,105
2025-01-09,Coffee Frappe,95,1,95
2025-01-09,Espresso,60,1,60
2025-01-09,Flat White,75,2,150
2025-01-09,Fudgy Brownie,75,3,225
2025-01-09,Ham & Cheese Sandwich,85,1,85
2025-01-09,Hot Cappuccino,75,2,150
2025-01-09,Hot Chocolate,70,3,210
2025-01-09,Hot Matcha Latte,80,1,80
2025-01-09,Hot Thai Tea,60,1,60
2025-01-09,Iced Americano,70,5,350
2025-01-09,Iced Chocolate,80,1,80
2025-01-09,Iced Latte,80,1,80
2025-01-09,Iced Lemon Tea,65,2,130
2025-01-09,Iced Matcha Latte,90,2,180
2025-01-09,Pain au Chocolat,80,1,80
2025-01-09,Peach Tea,65,1,65
2025-01-09,Red Velvet Cake,110,1,110
2025-01-09,Sausage Roll,75,3,225
2025-01-09,Spinach Quiche,95,4,380
2025-01-09,Strawberry Italian Soda,60,1,60
2025-01-09,Yuzu Soda,70,1,70
2025-01-10,Almond Croissant,85,3,255
2025-01-10,Blueberry Muffin,60,1,60
2025-01-10,Butter Croissant,65,1,65
2025-01-10,Carrot Cake,110,1,110
2025-01-10,Chamomile Tea,55,2,110
2025-01-10,Chicken Pie,85,1,85
2025-01-10,Chocolate Chip Cookie,45,1,45
2025-01-10,Chocolate Fudge Cake,105,2,210
2025-01-10,Coffee Frappe,95,3,285
2025-01-10,Earl Grey Tea,55,3,165
2025-01-10,Espresso,60,2,120
2025-01-10,Flat White,75,2,150
2025-01-10,Fudgy Brownie,75,1,75
2025-01-10,Hot Americano,65,2,130
2025-01-10,Hot Cappuccino,75,1,75
2025-01-10,Hot Caramel Macchiato,80,1,80
2025-01-10,Hot Chocolate,70,2,140
2025-01-10,Hot Latte,75,1,75
2025-01-10,Hot Thai Tea,60,1,60
2025-01-10,Iced Americano,70,1,70
2025-01-10,Iced Caramel Macchiato,90,2,180
2025-01-10,Iced Chocolate,80,2,160
2025-01-10,Iced Thai Tea,70,1,70
2025-01-10,Peach Tea,65,1,65
2025-01-10,Red Velvet Cake,110,2,220
2025-01-10,Sausage Roll,75,1,75
2025-01-10,Spinach Quiche,95,1,95
2025-01-10,Strawberry Italian Soda,60,2,120
2025-01-11,Banoffee Pie,100,1,100
2025-01-11,Blueberry Muffin,60,2,120
2025-01-11,Butter Croissant,65,1,65
2025-01-11,Carrot Cake,110,1,110
2025-01-11,Chamomile Tea,55,4,220
2025-01-11,Chicken Pie,85,2,170
2025-01-11,Chocolate Chip Cookie,45,1,45
2025-01-11,Coffee Frappe,95,2,190
2025-01-11,Flat White,75,1,75
2025-01-11,Ham & Cheese Sandwich,85,2,170
2025-01-11,Hot Americano,65,1,65
2025-01-11,Hot Cappuccino,75,2,150
2025-01-11,Hot Chocolate,70,2,140
2025-01-11,Hot Latte,75,2,150
2025-01-11,Hot Matcha Latte,80,4,320
2025-01-11,Hot Mocha,80,2,160
2025-01-11,Hot Thai Tea,60,1,60
2025-01-11,Iced Americano,70,3,210
2025-01-11,Iced Chocolate,80,1,80
2025-01-11,Iced Latte,80,1,80
2025-01-11,Iced Lemon Tea,65,5,325
2025-01-11,Iced Matcha Latte,90,1,90
2025-01-11,New York Cheesecake,120,1,120
2025-01-11,Pain au Chocolat,80,1,80
2025-01-11,Peach Tea,65,1,65
2025-01-11,Red Velvet Cake,110,2,220
2025-01-11,Sausage Roll,75,1,75
2025-01-11,Spinach Quiche,95,3,285
2025-01-11,Tiramisu,125,1,125
2025-01-12,Almond Croissant,85,3,255
2025-01-12,Butter Croissant,65,2,130
2025-01-12,Chamomile Tea,55,4,220
2025-01-12,Chicken Pie,85,3,255
2025-01-12,Chocolate Fudge Cake,105,2,210
2025-01-12,Club Sandwich,110,2,220
2025-01-12,Coffee Frappe,95,3,285
2025-01-12,Espresso,60,2,120
2025-01-12,Flat White,75,2,150
2025-01-12,Fudgy Brownie,75,1,75
2025-01-12,Ham & Cheese Sandwich,85,2,170
2025-01-12,Hot Cappuccino,75,1,75
2025-01-12,Hot Chocolate,70,3,210
2025-01-12,Hot Matcha Latte,80,2,160
2025-01-12,Iced Chocolate,80,1,80
2025-01-12,Iced Latte,80,1,80
2025-01-12,Iced Thai Tea,70,1,70
2025-01-12,Pain au Chocolat,80,1,80
2025-01-12,Peach Tea,65,4,260
2025-01-12,Red Velvet Cake,110,1,110
2025-01-12,Sausage Roll,75,2,150
2025-01-12,Spinach Quiche,95,2,190
2025-01-12,Strawberry Italian Soda,60,2,120
2025-01-12,Tiramisu,125,1,125
2025-01-13,Almond Croissant,85,4,340
2025-01-13,Banoffee Pie,100,1,100
2025-01-13,Blueberry Muffin,60,2,120
2025-01-13,Butter Croissant,65,1,65
2025-01-13,Carrot Cake,110,2,220
2025-01-13,Chamomile Tea,55,2,110
2025-01-13,Chicken Pie,85,3,255
2025-01-13,Chocolate Chip Cookie,45,1,45
2025-01-13,Earl Grey Tea,55,2,110
2025-01-13,Espresso,60,2,120
2025-01-13,Flat White,75,3,225
2025-01-13,Hot Cappuccino,75,1,75
2025-01-13,Hot Caramel Macchiato,80,1,80
2025-01-13,Hot Chocolate,70,1,70
2025-01-13,Hot Latte,75,1,75
2025-01-13,Hot Matcha Latte,80,2,160
2025-01-13,Hot Mocha,80,1,80
2025-01-13,Hot Thai Tea,60,1,60
2025-01-13,Iced Caramel Macchiato,90,1,90
2025-01-13,Iced Chocolate,80,1,80
2025-01-13,Iced Lemon Tea,65,1,65
2025-01-13,Iced Matcha Latte,90,1,90
2025-01-13,Iced Mocha,85,1,85
2025-01-13,Iced Thai Tea,70,2,140
2025-01-13,New York Cheesecake,120,5,600
2025-01-13,Pain au Chocolat,80,1,80
2025-01-13,Red Velvet Cake,110,4,440
2025-01-13,Sausage Roll,75,1,75
2025-01-13,Spinach Quiche,95,3,285
2025-01-13,Strawberry Italian Soda,60,1,60
2025-01-14,Almond Croissant,85,1,85
2025-01-14,Banoffee Pie,100,1,100
2025-01-14,Blueberry Muffin,60,2,120
2025-01-14,Butter Croissant,65,1,65
2025-01-14,Chamomile Tea,55,1,55
2025-01-14,Chicken Pie,85,2,170
2025-01-14,Chocolate Chip Cookie,45,1,45
2025-01-14,Chocolate Fudge Cake,105,1,105
2025-01-14,Club Sandwich,110,4,440
2025-01-14,Coffee Frappe,95,4,380
2025-01-14,Earl Grey Tea,55,1,55
2025-01-14,Espresso,60,2,120
2025-01-14,Ham & Cheese Sandwich,85,1,85
2025-01-14,Hot Americano,65,1,65
2025-01-14,Hot Cappuccino,75,2,150
2025-01-14,Hot Chocolate,70,1,70
2025-01-14,Hot Matcha Latte,80,1,80
2025-01-14,Hot Mocha,80,4,320
2025-01-14,Hot Thai Tea,60,3,180
2025-01-14,Iced Americano,70,3,210
2025-01-14,Iced Caramel Macchiato,90,2,180
2025-01-14,Iced Matcha Latte,90,2,180
2025-01-14,Iced Thai Tea,70,1,70
2025-01-14,Pain au Chocolat,80,2,160
2025-01-14,Red Velvet Cake,110,2,220
2025-01-14,Sausage Roll,75,1,75
2025-01-14,Spinach Quiche,95,2,190
2025-01-14,Yuzu Soda,70,1,70
2025-01-15,Almond Croissant,85,2,170
2025-01-15,Chamomile Tea,55,2,110
2025-01-15,Chocolate Chip Cookie,45,2,90
2025-01-15,Chocolate Fudge Cake,105,2,210
2025-01-15,Club Sandwich,110,2,220
2025-01-15,Coffee Frappe,95,1,95
2025-01-15,Cold Brew,90,2,180
2025-01-15,Earl Grey Tea,55,5,275
2025-01-15,Flat White,75,3,225
2025-01-15,Fudgy Brownie,75,1,75
2025-01-15,Ham & Cheese Sandwich,85,5,425
2025-01-15,Hot Americano,65,4,260
2025-01-15,Hot Cappuccino,75,3,225
2025-01-15,Hot Caramel Macchiato,80,1,80
2025-01-15,Hot Chocolate,70,1,70
2025-01-15,Hot Matcha Latte,80,3,240
2025-01-15,Hot Mocha,80,4,320
2025-01-15,Hot Thai Tea,60,2,120
2025-01-15,Iced Americano,70,2,140
2025-01-15,Iced Caramel Macchiato,90,1,90
2025-01-15,Iced Lemon Tea,65,2,130
2025-01-15,New York Cheesecake,120,1,120
2025-01-15,Pain au Chocolat,80,2,160
2025-01-15,Sausage Roll,75,2,150
2025-01-15,Spinach Quiche,95,2,190
2025-01-15,Strawberry Italian Soda,60,3,180
2025-01-15,Tiramisu,125,2,250
2025-01-15,Yuzu Soda,70,1,70
2025-01-16,Almond Croissant,85,2,170
2025-01-16,Carrot Cake,110,2,220
2025-01-16,Chamomile Tea,55,1,55
2025-01-16,Chicken Pie,85,1,85
2025-01-16,Club Sandwich,110,1,110
2025-01-16,Coffee Frappe,95,3,285
2025-01-16,Espresso,60,1,60
2025-01-16,Flat White,75,1,75
2025-01-16,Ham & Cheese Sandwich,85,1,85
2025-01-16,Hot Americano,65,1,65
2025-01-16,Hot Cappuccino,75,2,150
2025-01-16,Hot Latte,75,1,75
2025-01-16,Hot Mocha,80,1,80
2025-01-16,Iced Caramel Macchiato,90,1,90
2025-01-16,New York Cheesecake,120,2,240
2025-01-16,Pain au Chocolat,80,1,80
2025-01-16,Red Velvet Cake,110,1,110
2025-01-16,Spinach Quiche,95,2,190
2025-01-16,Strawberry Italian Soda,60,3,180
2025-01-16,Yuzu Soda,70,1,70
2025-01-17,Almond Croissant,85,3,255
2025-01-17,Banoffee Pie,100,1,100
2025-01-17,Blueberry Muffin,60,1,60
2025-01-17,Butter Croissant,65,1,65
2025-01-17,Chamomile Tea,55,1,55
2025-01-17,Chocolate Chip Cookie,45,3,135
2025-01-17,Chocolate Fudge Cake,105,2,210
2025-01-17,Club Sandwich,110,1,110
2025-01-17,Coffee Frappe,95,1,95
2025-01-17,Espresso,60,3,180
2025-01-17,Flat White,75,2,150
2025-01-17,Ham & Cheese Sandwich,85,2,170
2025-01-17,Hot Americano,65,3,195
2025-01-17,Hot Cappuccino,75,1,75
2025-01-17,Hot Caramel Macchiato,80,1,80
2025-01-17,Hot Chocolate,70,2,140
2025-01-17,Hot Latte,75,1,75
2025-01-17,Hot Matcha Latte,80,2,160
2025-01-17,Hot Mocha,80,2,160
2025-01-17,Hot Thai Tea,60,1,60
2025-01-17,Iced Americano,70,1,70
2025-01-17,Iced Caramel Macchiato,90,2,180
2025-01-17,Iced Chocolate,80,1,80
2025-01-17,Iced Latte,80,4,320
2025-01-17,Iced Lemon Tea,65,2,130
2025-01-17,Iced Matcha Latte,90,2,180
2025-01-17,Iced Mocha,85,1,85
2025-01-17,Iced Thai Tea,70,1,70
2025-01-17,New York Cheesecake,120,1,120
2025-01-17,Pain au Chocolat,80,1,80
2025-01-17,Peach Tea,65,3,195
2025-01-17,Red Velvet Cake,110,2,220
2025-01-17,Sausage Roll,75,1,75
2025-01-17,Spinach Quiche,95,3,285
2025-01-17,Strawberry Italian Soda,60,2,120
2025-01-17,Yuzu Soda,70,1,70
2025-01-18,Almond Croissant,85,2,170
2025-01-18,Butter Croissant,65,3,195
2025-01-18,Chamomile Tea,55,1,55
2025-01-18,Chicken Pie,85,3,255
2025-01-18,Chocolate Chip Cookie,45,2,90
2025-01-18,Chocolate Fudge Cake,105,3,315
2025-01-18,Club Sandwich,110,1,110
2025-01-18,Coffee Frappe,95,2,190
2025-01-18,Cold Brew,90,1,90
2025-01-18,Espresso,60,1,60
2025-01-18,Flat White,75,1,75
2025-01-18,Ham & Cheese Sandwich,85,1,85
2025-01-18,Hot Americano,65,2,130
2025-01-18,Hot Cappuccino,75,2,150
2025-01-18,Hot Caramel Macchiato,80,1,80
2025-01-18,Hot Chocolate,70,2,140
2025-01-18,Hot Thai Tea,60,1,60
2025-01-18,Iced Americano,70,1,70
2025-01-18,Iced Caramel Macchiato,90,3,270
2025-01-18,Iced Chocolate,80,1,80
2025-01-18,Iced Latte,80,1,80
2025-01-18,Iced Matcha Latte,90,1,90
2025-01-18,New York Cheesecake,120,2,240
2025-01-18,Pain au Chocolat,80,2,160
2025-01-18,Peach Tea,65,1,65
2025-01-18,Red Velvet Cake,110,1,110
2025-01-18,Sausage Roll,75,3,225
2025-01-18,Spinach Quiche,95,3,285
2025-01-18,Strawberry Italian Soda,60,1,60
2025-01-19,Blueberry Muffin,60,1,60
2025-01-19,Carrot Cake,110,1,110
2025-01-19,Chamomile Tea,55,2,110
2025-01-19,Chicken Pie,85,4,340
2025-01-19,Coffee Frappe,95,2,190
2025-01-19,Cold Brew,90,1,90
2025-01-19,Earl Grey Tea,55,3,165
2025-01-19,Espresso,60,2,120
2025-01-19,Flat White,75,1,75
2025-01-19,Ham & Cheese Sandwich,85,1,85
2025-01-19,Hot Americano,65,3,195
2025-01-19,Hot Cappuccino,75,3,225
2025-01-19,Hot Caramel Macchiato,80,1,80
2025-01-19,Hot Matcha Latte,80,4,320
2025-01-19,Hot Mocha,80,1,80
2025-01-19,Hot Thai Tea,60,2,120
2025-01-19,Iced Americano,70,2,140
2025-01-19,Iced Caramel Macchiato,90,6,540
2025-01-19,Iced Latte,80,1,80
2025-01-19,Iced Lemon Tea,65,3,195
2025-01-19,Iced Matcha Latte,90,1,90
2025-01-19,New York Cheesecake,120,1,120
2025-01-19,Peach Tea,65,2,130
2025-01-19,Red Velvet Cake,110,2,220
2025-01-19,Spinach Quiche,95,1,95
2025-01-19,Strawberry Italian Soda,60,1,60
2025-01-19,Tiramisu,125,1,125
2025-01-19,Yuzu Soda,70,1,70
2025-01-20,Almond Croissant,85,2,170
2025-01-20,Blueberry Muffin,60,2,120
2025-01-20,Butter Croissant,65,1,65
2025-01-20,Chamomile Tea,55,1,55
2025-01-20,Chicken Pie,85,1,85
2025-01-20,Chocolate Chip Cookie,45,1,45
2025-01-20,Chocolate Fudge Cake,105,1,105
2025-01-20,Club Sandwich,110,2,220
2025-01-20,Coffee Frappe,95,4,380
2025-01-20,Earl Grey Tea,55,3,165
2025-01-20,Flat White,75,2,150
2025-01-20,Ham & Cheese Sandwich,85,3,255
2025-01-20,Hot Americano,65,1,65
2025-01-20,Hot Chocolate,70,1,70
2025-01-20,Hot Latte,75,1,75
2025-01-20,Hot Matcha Latte,80,3,240
2025-01-20,Hot Mocha,80,1,80
2025-01-20,Iced Americano,70,2,140
2025-01-20,Iced Latte,80,3,240
2025-01-20,Iced Lemon Tea,65,2,130
2025-01-20,Sausage Roll,75,2,150
2025-01-20,Spinach Quiche,95,2,190
2025-01-20,Tiramisu,125,1,125
2025-01-21,Almond Croissant,85,1,85
2025-01-21,Blueberry Muffin,60,1,60
2025-01-21,Carrot Cake,110,1,110
2025-01-21,Chicken Pie,85,1,85
2025-01-21,Club Sandwich,110,2,220
2025-01-21,Coffee Frappe,95,3,285
2025-01-21,Earl Grey Tea,55,1,55
2025-01-21,Espresso,60,4,240
2025-01-21,Flat White,75,2,150
2025-01-21,Ham & Cheese Sandwich,85,1,85
2025-01-21,Hot Americano,65,1,65
2025-01-21,Hot Cappuccino,75,2,150
2025-01-21,Hot Chocolate,70,1,70
2025-01-21,Hot Latte,75,1,75
2025-01-21,Hot Thai Tea,60,1,60
2025-01-21,Iced Americano,70,4,280
2025-01-21,Iced Chocolate,80,3,240
2025-01-21,Iced Latte,80,2,160
2025-01-21,Iced Lemon Tea,65,3,195
2025-01-21,Iced Thai Tea,70,2,140
2025-01-21,Pain au Chocolat,80,1,80
2025-01-21,Red Velvet Cake,110,1,110
2025-01-21,Spinach Quiche,95,3,285
2025-01-21,Strawberry Italian Soda,60,1,60
2025-01-21,Yuzu Soda,70,2,140
2025-01-22,Almond Croissant,85,1,85
2025-01-22,Blueberry Muffin,60,2,120
2025-01-22,Chicken Pie,85,3,255
2025-01-22,Chocolate Fudge Cake,105,4,420
2025-01-22,Coffee Frappe,95,2,190
2025-01-22,Cold Brew,90,1,90
2025-01-22,Earl Grey Tea,55,2,110
2025-01-22,Espresso,60,3,180
2025-01-22,Flat White,75,2,150
2025-01-22,Ham & Cheese Sandwich,85,1,85
2025-01-22,Hot Cappuccino,75,3,225
2025-01-22,Hot Caramel Macchiato,80,1,80
2025-01-22,Hot Matcha Latte,80,2,160
2025-01-22,Hot Mocha,80,1,80
2025-01-22,Hot Thai Tea,60,1,60
2025-01-22,Iced Americano,70,4,280
2025-01-22,Iced Caramel Macchiato,90,1,90
2025-01-22,Iced Chocolate,80,1,80
2025-01-22,Iced Latte,80,4,320
2025-01-22,Iced Lemon Tea,65,3,195
2025-01-22,Iced Matcha Latte,90,2,180
2025-01-22,Iced Thai Tea,70,1,70
2025-01-22,Sausage Roll,75,1,75
2025-01-22,Spinach Quiche,95,5,475
2025-01-22,Strawberry Italian Soda,60,1,60
2025-01-22,Yuzu Soda,70,1,70
2025-01-23,Almond Croissant,85,2,170
2025-01-23,Banoffee Pie,100,1,100
2025-01-23,Butter Croissant,65,3,195
2025-01-23,Chamomile Tea,55,1,55
2025-01-23,Chicken Pie,85,4,340
2025-01-23,Chocolate Chip Cookie,45,1,45
2025-01-23,Coffee Frappe,95,4,380
2025-01-23,Cold Brew,90,2,180
2025-01-23,Earl Grey Tea,55,1,55
2025-01-23,Espresso,60,2,120
2025-01-23,Flat White,75,1,75
2025-01-23,Ham & Cheese Sandwich,85,1,85
2025-01-23,Hot Americano,65,2,130
2025-01-23,Hot Cappuccino,75,2,150
2025-01-23,Hot Caramel Macchiato,80,1,80
2025-01-23,Hot Chocolate,70,2,140
2025-01-23,Hot Matcha Latte,80,2,160
2025-01-23,Hot Mocha,80,2,160
2025-01-23,Hot Thai Tea,60,2,120
2025-01-23,Iced Americano,70,3,210
2025-01-23,Iced Caramel Macchiato,90,4,360
